Market Name,Delivery Date,Unique bid number,Response Unit,Unit type,Agent/Applicant,Related Entity,Volume offered,Volume Accepted,Delivery Start UTC,Delivery End UTC,Service Duration,Availability Fee,Total Cost,RTM/no RTM,Accepted/Rejected,Rejection code,Technology Type
DC LF,05-10-20,20201005 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,05-10-20,20201005 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,05-10-20,20201005 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,0,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,18,,no RTM,Rejected,1,Battery
DC LF,06-10-20,20201006 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,16.85,19815.6,RTM,Accepted,,Battery
DC LF,06-10-20,20201006 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,06-10-20,20201006 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,16.95,16678.8,RTM,Accepted,,Battery
DC LF,06-10-20,20201006 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,8,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,17,3264,no RTM,Accepted,,Battery
DC LF,06-10-20,20201006 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,06-10-20,20201006 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-05T22:00:00Z,2020-10-06T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,07-10-20,20201007 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,07-10-20,20201007 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,07-10-20,20201007 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,16.95,16678.8,RTM,Accepted,,Battery
DC LF,07-10-20,20201007 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,8,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,17,3264,no RTM,Accepted,,Battery
DC LF,07-10-20,20201007 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,07-10-20,20201007 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-06T22:00:00Z,2020-10-07T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,08-10-20,20201008 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,08-10-20,20201008 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,08-10-20,20201008 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,16.95,16678.8,RTM,Accepted,,Battery
DC LF,08-10-20,20201008 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,8,8,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,17,3264,no RTM,Accepted,,Battery
DC LF,08-10-20,20201008 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,08-10-20,20201008 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2020-10-07T22:00:00Z,2020-10-08T22:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,09-10-20,20201009 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-08T22:00:00Z,2020-10-09T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,09-10-20,20201009 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-08T22:00:00Z,2020-10-09T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
